Crop,Season,Region,Min. Temperature,Max. Temperature,Min. Rainfall(cm),Max. Rainfall(cm),pH value,soil type
Bajara ,Kharif ,Alirajpur,26,28,50,70,6.173,black cotton
Bajara ,Kharif ,Barwani,25,27,48,71,5.896,Medium Black Soil
Bajara ,Kharif ,Bhind,24,28,45,65,6.192,Alluvial soil
Bajara ,Kharif ,Datia,25,28,40,60,5.886,Deep Medium Black Soil
Bajara ,Kharif ,Dhar,23,25,41,76,6.332,Deep Medium Black Soil
Bajara ,Kharif ,Gwalior,20,27,50,60,5.585,Alluvial soil
Bajara ,Kharif ,Morena,23,26,40,75,5.867,Alluvial soil
Bajara ,Kharif ,Sheopur,25,30,45,60,6.525,Mixed Red & Black Soil
Bajara ,Kharif ,Shivpuri,20,30,40,70,6.555,Deep Medium Black Soil
Cotton,Kharif,Alirajpur,24,30,60,100,5.952,Deep Medium Black Soil
Cotton,Kharif,Barwani,18,29,55,100,6.587,Deep Medium Black Soil
Cotton,Kharif,Burhanpur,21,27,50,95,7.157,Deep Medium Black Soil
Cotton,Kharif,Chhindwara,20,30,65,100,7.601,Shallow & Medium Black soil
Cotton,Kharif,Dewas,22,29,50,90,6.173,Deep Medium Black Soil
Cotton,Kharif,Dhar,20,32,55,95,7.247,Deep Medium Black Soil
Cotton,Kharif,Jhabua,24,29,51,97,7.77,Deep Medium Black Soil
Cotton,Kharif,Khandwa,19,30,49,93,6.14,Deep medium Black soil 
Cotton,Kharif,Khargone,17,29,53,96,6.041,Deep medium Black soil 
Cotton,Kharif,Ratlam,21,30,50,100,6.567,Deep medium Black soil 
Gram,Rabi,Agar Malwa,23,31,69,97,8.017,Deep Medium Black Soil
Gram,Rabi,Alirajpur,24,28,65,82,7.084,Deep Medium Black Soil
Gram,Rabi,Anuppur,24,28,58,79,8.111,Deep Medium Black Soil
Gram,Rabi,Ashoknagar,24,28,66,87,8.094,Deep Medium Black Soil
Gram,Rabi,Balaghat,22,30,58,77,7.786,Mixed Red & Black Soil
Gram,Rabi,Barwani,26,28,69,86,8.143,Deep Medium Black Soil
Gram,Rabi,Betul,22,32,57,94,8.331,Shallow & Medium Black Soil
Gram,Rabi,Bhind,22,32,63,99,7.975,Alluvial soil
Gram,Rabi,Bhopal,21,32,55,76,7.549,Deep Medium Black Soil
Gram,Rabi,Burhanpur,23,33,63,92,7.113,Deep Medium Black Soil
Gram,Rabi,Chhatarpur,23,30,67,75,6.602,Mixed Red & Black Soil
Gram,Rabi,Chhindwara,24,30,62,84,7.499,Shallow & Medium Black Soil
Gram,Rabi,Damoh,23,32,68,81,7.957,Deep Medium Black Soil
Gram,Rabi,Datia,25,30,68,98,6.53,Deep Medium Black Soil
Gram,Rabi,Dewas,22,28,58,80,7.439,Deep Medium Black Soil
Gram,Rabi,Dhar,21,30,66,86,8.088,Deep Medium Black Soil
Gram,Rabi,Dindori,25,32,55,90,6.856,Mixed Red & Black Soil
Gram,Rabi,Guna,24,28,56,75,7.357,Deep Medium VBlack Soil
Gram,Rabi,Gwalior,22,31,55,96,8.007,Alluvial soil
Gram,Rabi,Harda,24,32,67,92,7.244,Deep Medium Black Soil
Gram,Rabi,Hoshangabad,22,29,63,78,7.914,Deep Medium Black Soil
Gram,Rabi,Indore,21,31,68,82,7.104,Deep Medium Black Soil
Gram,Rabi,Jabalpur,21,33,55,85,6.718,Deep Medium Black Soil
Gram,Rabi,Jhabua,25,31,60,79,7.191,Deep Medium Black Soil
Gram,Rabi,Katni,23,29,56,92,8.193,Deep Medium Black Soil
Gram,Rabi,Khandwa,26,33,68,77,7.714,Deep Medium Black Soil
Gram,Rabi,Khargone,23,30,67,79,7.984,Deep Medium Black Soil
Gram,Rabi,Mandla,22,33,69,91,6.874,Mixed Red & Black Soil
Gram,Rabi,Mandsaur,24,31,62,98,6.989,Deep Medium Black Soil
Gram,Rabi,Morena,23,31,68,78,8.467,Alluvial soil
Gram,Rabi,Narsinghpur,21,29,55,76,6.685,Deep Medium Black Soil
Gram,Rabi,Neemuch,24,28,65,82,8.43,Deep Medium Black Soil
Gram,Rabi,Panna,22,31,62,88,7.142,Mixed red & black Soil
Gram,Rabi,Raisen,23,33,55,75,6.705,Deep Medium Black Soil
Gram,Rabi,Rajgarh,22,29,63,88,7.986,Deep Medium Black Soil
Gram,Rabi,Ratlam,21,33,56,88,6.695,Deep Medium Black Soil
Gram,Rabi,Rewa,25,30,65,98,8.085,Mixed Red & Black Soil
Gram,Rabi,Sagar,26,30,68,91,7.103,Deep Medium Black Soil
Gram,Rabi,Satna,23,29,67,78,8.4,Mixed Red & Black Soil
Gram,Rabi,Sehore,25,33,64,94,6.536,Deep Medium Black Soil
Gram,Rabi,Seoni,24,33,59,89,7.582,Shallow & Medium Black Soil
Gram,Rabi,Shahdol,25,33,65,90,7.269,Deep Medium Black Soil
Gram,Rabi,Shajapur,26,32,64,96,7.727,Deep Meduim Black soil
Gram,Rabi,Sheopur,25,33,63,88,8.363,Deep Medium Black Soil
Gram,Rabi,Shivpuri,23,33,56,91,6.934,Deep Medium Black Soil
Gram,Rabi,Sidhi,26,29,57,79,6.803,Deep Medium Black Soil
Gram,Rabi,Singrauli,26,29,56,79,8.577,Deep Medium Black Soil
Gram,Rabi,Tikamgarh,22,29,59,90,7.571,Mixed Red & Black Soil
Gram,Rabi,Ujjain,26,31,61,87,7.645,Deep Medium Black Soil
Gram,Rabi,Umaria,25,28,61,80,7.707,Deep Medium Black Soil
Gram,Rabi,Vidisa,25,29,63,98,7.614,Deep Medium Black Soil
Banana,Whole Year,Anuppur,24,34,201,253,7.282,Deep Medium Black Soil
Banana,Whole Year,Balaghat,22,34,227,252,7.056,Mixed Red & Black Soil
Banana,Whole Year,Barwani,22,32,220,243,7.612,Deep Medium Black Soil
Banana,Whole Year,Burhanpur,22,28,217,246,6.589,Deep Medium Black Soil
Banana,Whole Year,Damoh,17,29,220,253,7.091,Deep Medium Black Soil
Banana,Whole Year,Dhar,22,34,203,253,7.163,Deep Medium Black Soil
Banana,Whole Year,Hoshangabad,19,28,223,251,7.461,Deep Medium Black Soil
Banana,Whole Year,Khandwa,24,33,219,246,6.506,Deep Medium Black Soil
Banana,Whole Year,Khargone,20,32,228,242,7.372,Deep Medium Black Soil
Banana,Whole Year,Ratlam,19,33,210,252,7.337,Deep Medium Black Soil
Banana,Whole Year,Sidhi,18,30,205,248,6.707,Deep Medium Black Soil
Banana,Whole Year,Singrauli,16,30,210,249,7.028,Deep Medium Black Soil
Potato,Whole Year,Alirajpur,23,25,51,69,7.039,Deep Medium Black Soil
Potato,Whole Year,Anuppur,20,27,58,71,5.856,Deep Medium Black Soil
Potato,Whole Year,Ashoknagar,21,26,52,63,6.037,Deep Medium Black Soil
Potato,Whole Year,Balaghat,21,24,51,66,5.829,Mixed Red & Black Soil
Potato,Whole Year,Barwani,22,27,51,62,5.728,Deep Medium Black Soil
Potato,Whole Year,Betul,23,27,49,69,6.7,Shallow & Medium Black Soil
Potato,Whole Year,Bhind,20,27,58,69,6.43,Alluvial soil
Potato,Whole Year,Bhopal,20,27,59,65,5.828,Deep Medium Black Soil
Potato,Whole Year,Chhatarpur,20,24,55,69,6.797,Mixed Red & Black Soil
Potato,Whole Year,Chhindwara,21,26,57,69,6.317,Shallow & Medium Black Soil
Potato,Whole Year,Damoh,23,26,50,67,6.021,Deep Medium Black Soil
Potato,Whole Year,Datia,23,24,55,71,5.626,Deep Medium Black Soil
Potato,Whole Year,Dewas,23,26,55,63,6.353,Deep Medium Black Soil
Potato,Whole Year,Dhar,22,24,59,63,6.376,Deep Medium Black Soil
Potato,Whole Year,Dindori,23,26,54,71,6.334,Mixed Red & Black Soil
Potato,Whole Year,Guna,21,26,54,68,7.076,Deep Medium Black Soil
Potato,Whole Year,Gwalior,21,24,58,69,6.561,Alluvial soil
Potato,Whole Year,Harda,20,27,52,63,6.939,Deep Medium Black Soil
Potato,Whole Year,Hoshangabad,23,27,56,65,5.973,Deep Medium Black Soil
Potato,Whole Year,Indore,23,26,57,67,6.09,Deep Medium Black Soil
Potato,Whole Year,Jabalpur,21,27,50,68,6.715,Deep Medium Black Soil
Potato,Whole Year,Jhabua,22,24,58,70,6.657,Deep Medium Black Soil
Potato,Whole Year,Katni,20,24,59,69,7.065,Deep Medium Black Soil
Potato,Whole Year,Khandwa,22,27,57,66,6.109,Deep Medium Black Soil
Potato,Whole Year,Khargone,20,27,57,67,5.987,Deep Medium Black Soil
Potato,Whole Year,Mandla,23,24,53,69,6.498,Mixed Red & Black Soil
Potato,Whole Year,Mandsaur,23,24,50,66,6.86,Deep Medium Black Soil
Potato,Whole Year,Morena,23,25,56,67,7.024,Alluvial soil
Potato,Whole Year,Narsinghpur,21,26,52,62,5.75,Deep Medium Black Soil
Potato,Whole Year,Neemuch,23,24,58,69,6.355,Deep Medium Black Soil
Potato,Whole Year,Panna,20,24,49,69,6.226,Mixed Red & Black Soil
Potato,Whole Year,Raisen,21,26,59,67,6.737,Deep Medium Black Soil
Potato,Whole Year,Rajgarh,23,27,53,63,6.759,Deep Medium Black Soil
Potato,Whole Year,Ratlam,22,25,56,66,6.839,Deep Medium Black Soil
Potato,Whole Year,Sagar,22,24,56,63,5.61,Deep Medium Black Soil
Potato,Whole Year,Satna,21,27,49,66,5.709,Mixed Red & Black Soil
Potato,Whole Year,Sehore,23,25,59,64,6.052,Deep Medium Black Soil
Potato,Whole Year,Seoni,20,27,51,63,5.866,Shallow & Medium Black Soil
Potato,Whole Year,Shahdol,20,24,56,70,5.585,Deep Medium Black Soil
Potato,Whole Year,Shajapur,20,26,51,66,6.753,Deep Medium Black Soil
Potato,Whole Year,Sheopur,21,27,53,63,6.631,Deep Medium Black Soil
Potato,Whole Year,Shivpuri,21,27,50,65,6.357,Deep Medium Black Soil
Potato,Whole Year,Sidhi,23,26,56,70,6.116,Deep Medium Black Soil
Potato,Whole Year,Singrauli,23,27,52,71,6.277,Deep Medium Black Soil
Potato,Whole Year,Tikamgarh,20,24,58,63,6.828,Mixed Red & Black Soil
Potato,Whole Year,Ujjain,21,24,49,70,6.445,Deep Medium Black Soil
Potato,Whole Year,Umaria,23,25,59,62,5.983,Deep Medium Black Soil
Potato,Whole Year,Vidisha,22,26,53,65,5.56,Deep Medium Black Soil
Arhar/Tur,Kharif ,Agar Malwa,18,30,59,63,7.131,Deep Medium Black Soil
Arhar/Tur,Kharif ,Alirajpur,15,30,54,62,6.983,Deep Medium Black Soil
Arhar/Tur,Kharif ,Anuppur,16,34,60,61,7.472,Deep Medium Black Soil
Arhar/Tur,Kharif ,Ashoknagar,16,30,59,62,7.224,Deep Medium Black Soil
Arhar/Tur,Kharif ,Balaghat,15,33,60,64,7.256,Mixed Red & Black Soil
Arhar/Tur,Kharif ,Barwani,18,30,60,61,7.119,Deep Medium Black Soil
Arhar/Tur,Kharif ,Betul,17,35,59,62,7.41,Shallow & Medium Black Soil
Arhar/Tur,Kharif ,Bhind,15,31,59,61,6.696,Alluvial soil
Arhar/Tur,Kharif ,Bhopal,16,33,58,62,7.168,Deep Medium Black Soil
Arhar/Tur,Kharif,Burhanpur,18,35,60,63,7.473,Deep Medium Black Soil
Arhar/Tur,Kharif,Chhatarpur,18,30,59,62,6.749,Deep Medium Black Soil
Arhar/Tur,Kharif,Chhindwara,15,35,58,63,6.928,Deep Medium Black Soil
Arhar/Tur,Kharif,Damoh,16,31,58,61,7.352,Deep Medium Black Soil
Arhar/Tur,Kharif,Datia,18,34,58,61,6.603,Deep Medium Black Soil
Arhar/Tur,Kharif,Dewas,17,33,56,61,6.837,Deep Medium Black Soil
Arhar/Tur,Kharif,Dhar,17,35,60,64,6.71,Deep Medium Black Soil
Arhar/Tur,Kharif,Dindori,17,31,58,61,7.581,Deep Medium Black Soil
Arhar/Tur,Kharif,Guna,18,30,59,64,7.224,Deep Medium Black Soil
Arhar/Tur,Kharif,Gwalior,18,35,54,63,6.843,Shallow & Medium Black Soil
Arhar/Tur,Kharif,Harda,16,30,57,63,7.045,Deep Medium Black Soil
Coriander,Whole Year,Balaghat,21,28,79,100,6.842,Deep Medium Black Soil
Coriander,Whole Year,Barwani,22,26,84,99,6.656,Deep Medium Black Soil
Coriander,Whole Year,Betul,24,27,84,95,6.804,Deep Medium Black Soil
Coriander,Whole Year,Bhind,25,27,82,91,6.447,Deep Medium Black Soil
Coriander,Whole Year,Bhopal,21,26,77,89,6.629,Deep Medium Black Soil
Coriander,Whole Year,Burhanpur,24,30,84,96,6.493,Shallow & Medium Black Soil
Coriander,Whole Year,Chhatarpur,22,28,80,94,6.227,Shallow & Medium Black Soil
Coriander,Whole Year,Chhindwara,22,28,82,88,6.371,Mixed Red & Black Soil
Coriander,Whole Year,Damoh,23,29,75,92,6.656,Deep Medium Black Soil
Coriander,Whole Year,Datia,21,26,80,95,6.437,Deep Medium Black Soil
Coriander,Whole Year,Dewas,25,29,81,102,6.66,Deep Medium Black Soil
Coriander,Whole Year,Dhar,23,30,75,100,6.381,Deep Medium Black Soil
Coriander,Whole Year,Dindori,25,29,78,94,6.33,Deep Medium Black Soil
Coriander,Whole Year,Guna,25,28,82,101,6.689,Deep Medium Black Soil
Coriander,Whole Year,Gwalior,24,27,84,94,6.779,Alluvial soil
Coriander,Whole Year,Harda,25,27,81,95,6.251,Deep Medium Black Soil
Coriander,Whole Year,Hoshangabad,24,26,83,96,6.593,Shallow & Medium Black Soil
Coriander,Whole Year,Indore,20,26,81,101,6.339,Deep Medium Black Soil
Coriander,Whole Year,Jabalpur,24,30,75,100,6.632,Deep Medium Black Soil
Coriander,Whole Year,Jhabua,25,30,83,92,6.775,Deep Medium Black Soil
Coriander,Whole Year,Katni,23,29,76,92,6.786,Shallow & Medium Black Soil
Coriander,Whole Year,Khandwa,21,27,83,97,6.896,Shallow & Medium Black Soil
Coriander,Whole Year,Khargone,23,30,76,97,6.78,Mixed red & black Soil
Maize,Kharif ,Sagar,22,27,55,90,6.742,Deep Medium Black Soil
Maize,Kharif ,Satna,23,25,53,98,5.975,Deep Medium Black Soil
Maize,Kharif ,Sehore,21,27,56,91,6.777,Deep Medium Black Soil
Maize,Kharif ,Seoni,25,27,51,88,5.885,Mixed Red & Black Soil
Maize,Kharif ,Shahdol,19,28,59,100,6.871,Mixed Red & Black Soil
Maize,Kharif ,Shajapur,22,28,53,93,6.097,Shallow & Medium Black Soil
Maize,Kharif ,Sheopur,25,25,60,93,5.889,Deep Medium Black Soil
Maize,Kharif ,Shivpuri,22,27,51,98,6.246,Shallow & Medium Black Soil
Maize,Kharif ,Sidhi,20,26,55,87,5.929,Mixed Red & Black Soil
Maize,Kharif,Singrauli,24,26,55,90,6.385,Deep Medium Black Soil
Maize,Kharif,Tikamgarh,26,28,49,88,5.849,Deep Medium Black Soil
Maize,Kharif,Ujjain,22,28,61,86,6.612,Deep Medium Black Soil
Maize,Kharif,Umaria,25,25,64,91,6.559,Deep Medium Black Soil
Maize,Kharif,Vidisha,19,27,55,85,6.707,Deep Medium Black Soil